"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_allure_feature","TestFeatureStory1","","","test_case1",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_allure_feature","TestFeatureStory2","","","test_case_a",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_add","TestWithEXCEL","","","test_add[3-6-9]",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_add","TestWithEXCEL","","","test_add[1-2-3]",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_add","TestWithEXCEL","","","test_add[100-200-300]",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_step","","","","test_steps[3-anything]",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_allure_feature","TestFeatureStory2","","","test_case_c",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","1","test_pytest","test_allure_feature","TestFeatureStory1","","","test_case3",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_severity","","","","test_with_no_severity_label",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_demo","TestDemo","","","test_demo[env0]",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_csv","TestGetCsv","","","test_add[1-1-2]",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","1","test_pytest","test_json","TestGetJson","","","test_json[3-6-9]",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_allure_title","TestSearch","","","搜索词为ios",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_json","TestGetJson","","","test_json[1-1-2]",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_step","","","","test_steps[2-None]",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_csv","TestGetCsv","","","test_add[3-6-9]",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","1","test_pytest","test_step","","","","test_steps[1-something]",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_link","","","","test_with_testcase_link",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","1","test_pytest","test_allure_feature","TestFeatureStory2","","","test_case_b1",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_allure_feature","TestFeatureStory1","","","test_case2",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_json","TestGetJson","","","test_json[100-200-300]",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_raise","","","","test_raise1",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_link","","","","test_with_issue_link",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","13","test_pytest","test_allure_attach","Test1","","","test_case2",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_link","","","","test_with_named_link",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_link","","","","test_with_link",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_allure_feature","TestFeatureStory2","","","test_case_b2",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_severity","","","","test_with_normal_severity",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","19","test_pytest","test_allure_attach","Test1","","","test_case1",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","1","test_pytest","test_allure_title","TestSearch","","","搜索词为Honmony",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_severity","","","","test_with_trivial_severity",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_raise","","","","test_raise",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_severity","TestClassWithNormalSeverity","","","test_inside_the_normal_severity_test_class_with_overriding_critical_severity",""
"passed","Fri Mar 25 13:48:36 CST 2022","Fri Mar 25 13:48:36 CST 2022","0","test_pytest","test_severity","TestClassWithNormalSeverity","","","test_inside_the_normal_severity_test_class",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_csv","TestGetCsv","","","test_add[100-200-300]",""
"passed","Fri Mar 25 13:48:35 CST 2022","Fri Mar 25 13:48:35 CST 2022","0","test_pytest","test_allure_title","TestSearch","","","搜索词为android",""
